"특성별(1)",특성별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"특성별(1)",특성별(2),마약류 접촉,마약류 접촉,마약류 접촉,마약류 접촉,마약류 접촉,인터넷매체를 이용한 성범죄 피해,인터넷매체를 이용한 성범죄 피해,인터넷매체를 이용한 성범죄 피해,인터넷매체를 이용한 성범죄 피해,인터넷매체를 이용한 성범죄 피해,유해한 업소의 이용,유해한 업소의 이용,유해한 업소의 이용,유해한 업소의 이용,유해한 업소의 이용
"특성별(1)",특성별(2),전혀 위험에 노출되고 있지 않다 (%),위험에 노출되지 않은 편이다 (%),위험에 노출되고 있는 편이다 (%),높은 위험에 노출되고 있다 (%),평균 (점),전혀 위험에 노출되고 있지 않다 (%),위험에 노출되지 않은 편이다 (%),위험에 노출되고 있는 편이다 (%),높은 위험에 노출되고 있다 (%),평균 (점),전혀 위험에 노출되고 있지 않다 (%),위험에 노출되지 않은 편이다 (%),위험에 노출되고 있는 편이다 (%),높은 위험에 노출되고 있다 (%),평균 (점)
"전체",소계,17.7,18.2,43.1,21.0,2.67,10.9,15.7,45.3,28.1,2.91,12.2,23.9,46.8,17.1,2.69
"청소년 연령별",만9~12세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"청소년 연령별",만13~18세,20.4,20.7,40.9,18.0,2.57,12.7,17.4,44.9,25.1,2.82,14.9,26.0,43.2,15.9,2.60
"청소년 연령별",만19~24세,15.5,16.1,44.9,23.5,2.76,9.4,14.3,45.7,30.5,2.97,10.0,22.2,49.7,18.1,2.76
"청소년 성별",남성,16.3,18.5,43.1,22.1,2.71,10.6,16.3,44.7,28.4,2.91,11.5,25.0,45.7,17.8,2.70
"청소년 성별",여성,19.2,17.8,43.1,19.9,2.64,11.3,15.0,46.0,27.7,2.90,13.0,22.7,47.9,16.3,2.68
"학교급 및 재학여부",초등학교,6.3,14.0,59.7,19.9,2.93,4.4,25.9,43.0,26.7,2.92,7.8,28.6,52.1,11.5,2.67
"학교급 및 재학여부",중학교,23.5,22.9,37.3,16.3,2.46,15.4,18.8,42.8,23.0,2.74,17.8,25.3,42.2,14.6,2.54
"학교급 및 재학여부",고등학교,18.9,18.0,43.7,19.4,2.64,10.7,16.5,46.5,26.3,2.88,12.7,26.7,44.2,16.4,2.64
"학교급 및 재학여부",대학교,15.4,16.0,46.2,22.3,2.75,9.7,13.9,46.1,30.3,2.97,10.3,22.3,49.1,18.3,2.75
"학교급 및 재학여부",대학 미진학 및 졸업 등,14.1,18.5,38.7,28.7,2.82,7.8,15.0,44.8,32.4,3.02,8.9,21.7,50.9,18.6,2.79
"거주 지역",대도시,19.5,18.8,39.7,22.1,2.64,11.3,16.5,44.6,27.6,2.89,13.3,25.4,45.5,15.8,2.64
"거주 지역",중소도시,16.6,17.1,46.1,20.2,2.70,11.0,14.8,45.3,28.9,2.92,11.1,23.0,48.2,17.7,2.72
"거주 지역",농산어촌,15.6,19.8,44.3,20.2,2.69,9.2,16.2,47.7,26.9,2.92,12.7,22.0,46.1,19.3,2.72
"가구 소득",200만원 미만,13.9,18.5,39.1,28.5,2.82,9.1,9.0,44.6,37.3,3.10,10.3,19.4,45.6,24.7,2.85
"가구 소득",200 ~ 400만원 미만,20.7,23.0,37.7,18.6,2.54,10.6,24.0,42.1,23.2,2.78,12.8,27.1,41.6,18.5,2.66
"가구 소득",400 ~ 600만원 미만,20.4,17.6,43.0,19.0,2.61,12.1,16.5,45.8,25.6,2.85,13.4,25.5,46.7,14.4,2.62
"가구 소득",600만원 이상,12.1,16.1,47.6,24.2,2.84,9.5,10.7,46.7,33.1,3.03,10.4,20.2,50.2,19.1,2.78
"가구 형태",양부모 가족,18.2,17.9,44.1,19.8,2.66,11.0,16.1,45.7,27.2,2.89,12.5,24.5,47.0,16.0,2.66
"가구 형태",한부모 및 조손가족 등,17.8,24.3,33.9,24.0,2.64,14.5,14.0,39.4,32.2,2.89,15.1,19.4,41.3,24.2,2.75
